Production Year,Production Date Entered,Operator,County,Town,Field,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Injection Wells,Disposal Wells,Self-use Well,"Oil Produced, bbl","Gas Produced, Mcf","Water produced, bbl","Taxable Gas, Mcf",Purchaser Codes,Location
1983,1984-02-01,"Resource Exploration, Inc.",Chautauqua,NORTH HARMONY,NORTH HARMONY,BASS ISLAND,3,4,1,0,0,0,NO,14611,32962,0,0,,"NORTH HARMONY, NY
(42.094296, -79.374999)"
1983,1984-02-01,F & T Oil,Chautauqua,BUSTI,BUSTI,GLADE,1,0,0,0,0,0,NO,109,52,30,0,,"BUSTI, NY
(42.038067, -79.283549)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,CHIPMUNK,366,24,0,0,297,0,NO,44040,678,1085208,0,,"CARROLLTON, NY
(42.023289, -78.628438)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,ALLEGANY,CHIPMUNK,CHIPMUNK,329,4,0,0,317,0,NO,57183,863,1382784,0,,"ALLEGANY, NY
(42.088061, -78.491258)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,167,33,0,0,167,0,NO,114238,1745,2328360,0,,"ALLEGANY, NY
(42.088061, -78.491258)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,OLEAN,BRADFORD,BRADFORD,9,50,0,0,59,0,NO,793,11,7600,0,,"OLEAN, NY
(42.077495, -78.429849)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,0,66,0,0,71,0,NO,1048,13,8990,0,,"ALLEGANY, NY
(42.088061, -78.491258)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,CARROLLTON,BRADFORD,BRADFORD,0,6,0,0,0,0,NO,450,7,9080,0,,"CARROLLTON, NY
(42.023289, -78.628438)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,ONONDAGA,0,0,1,0,0,0,NO,3526,3869,0,0,,"CARROLLTON, NY
(42.023289, -78.628438)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,ONONDAGA,0,0,2,0,0,0,NO,200,60,0,0,,"CARROLLTON, NY
(42.023289, -78.628438)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,OLEAN,BRADFORD,BRADFORD,0,4,0,0,0,0,INACTIVE,533,6,3980,0,,"OLEAN, NY
(42.077495, -78.429849)"
1983,1984-02-07,Pennzoil Products Co.,Cattaraugus,OLEAN,BRADFORD,ORISKANY,0,0,1,0,0,0,NO,4410,395000,0,0,,"OLEAN, NY
(42.077495, -78.429849)"
1983,1984-02-22,"Universal Resources Holdings, Incorporated",Chautauqua,CHARLOTTE,GERRY-CHARLOTTE,BASS ISLAND,1,0,0,0,0,0,NO,5714,67624,6701,0,,"CHARLOTTE, NY
(43.255001, -77.617203)"
1983,1984-02-28,"Ekas, David & Archer",Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,15,1,0,0,0,0,NO,735,247,138,0,,"CARROLLTON, NY
(42.023289, -78.628438)"
1983,1984-03-05,J G & A Co-Venture,Allegany,ANDOVER,BEECH HILL-INDEPENDENCE,PENNY & FULMER VALLEY,2,7,0,0,0,0,NO,315,375,0,0,,"ANDOVER, NY
(42.156405, -77.795231)"
1983,1984-03-05,"Winger, Philip G. & Diane E.",Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,1,0,0,0,0,0,NO,713,385,700,0,,"CARROLLTON, NY
(42.023289, -78.628438)"
1983,1984-03-06,National Fuel Gas Supply Corp.,Chautauqua,ELLERY,NASHVILLE,BASS ISLAND,1,0,0,0,0,0,NO,568,16963,0,0,,"ELLERY, NY
(42.159868, -79.393216)"
1983,1984-03-09,Potter Oil Co.,Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,29,5,0,0,6,0,NO,1553,15696,0,0,,"INDEPENDENCE, NY
(42.088045, -77.781386)"
1983,1984-03-09,"Arrowhead Gas Producers, Inc.",Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,8,0,0,0,0,0,NO,5621,1800,4230,0,,"ALLEGANY, NY
(42.088061, -78.491258)"
1983,1984-03-26,"Beaver, Albert H",Cattaraugus,OLEAN,BRADFORD,BRADFORD,7,1,0,0,0,0,NO,142,10336,115,0,,"OLEAN, NY
(42.077495, -78.429849)"
1983,1984-03-26,"Roberts, Carl H",Allegany,CLARKSVILLE,CLARKSVILLE,CLARKSVILLE,5,0,0,0,0,0,NO,2259,14000,0,0,,"CLARKSVILLE, NY
(42.575802, -73.964401)"
1983,1984-03-26,"American Penn Energy,  Inc.",Chautauqua,NORTH HARMONY,NORTH HARMONY,BASS ISLAND,1,0,0,0,0,0,NO,3602,16328,0,0,,"NORTH HARMONY, NY
(42.094296, -79.374999)"
