Production Year,Production Date Entered,Operator,County,Town,Field,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Injection Wells,Disposal Wells,Self-use Well,"Oil Produced, bbl","Gas Produced, Mcf","Water produced, bbl","Taxable Gas, Mcf",Purchaser Codes,Location
2000,2001-08-24,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,CHIPMUNK,951,18,1,0,798,0,NO,304858.5,54557,3858936,5062,"OA,OX","CARROLLTON, NY
(42.023289, -78.628438)"
2000,2001-04-11,Rogor Petroleum Corp.,Cattaraugus,OLEAN,BRADFORD,BRADFORD,20,0,0,0,0,0,NO,2749.5,2700,1200,0,,"OLEAN, NY
(42.077495, -78.429849)"
2000,2001-06-22,Seis-Ex Geophysical Ltd,Chautauqua,KIANTONE,LAKESHORE,MEDINA,3,5,1,1,0,0,YES,619.5,11098,3435,0,,"KIANTONE, NY
(42.021944, -79.198276)"
2000,2001-08-22,Messer Oil Corp.,Allegany,BOLIVAR,RICHBURG,RICHBURG,28,30,1,0,0,0,NO,2224.5,1800,0,0,,"BOLIVAR, NY
(42.066701, -78.167667)"
2000,2001-04-19,Quaker State Corp.,Cattaraugus,OLEAN,FIVE MILE,BRADFORD,9,0,0,0,0,0,YES,619.5,400,40,0,,"OLEAN, NY
(42.077495, -78.429849)"
2000,2001-04-19,Quaker State Corp.,Cattaraugus,OLEAN,CHIPMUNK,BRADFORD,8,0,0,0,0,0,YES,762.0,500,50,0,,"OLEAN, NY
(42.077495, -78.429849)"
2000,2001-05-22,Moose Oil Co.,Allegany,BOLIVAR,RICHBURG,RICHBURG,38,56,0,0,76,0,NO,2472.0,686,19000,0,,"BOLIVAR, NY
(42.066701, -78.167667)"
2000,2001-08-22,"Greene, Kenneth & Myrtle",Allegany,WIRT,RICHBURG,RICHBURG,15,0,15,0,0,0,NO,922.5,1138,0,1138,"GX,OB","WIRT, NY
(42.137408, -78.150594)"
2000,2001-04-10,Berea Oil & Gas Corp.,Chautauqua,GERRY,LAKESHORE,BASS ISLAND/MEDINA,1,0,7,0,0,0,NO,7180.5,71536,0,0,,"GERRY, NY
(42.194749, -79.250394)"
2000,2001-05-22,U S Energy Development Corp.,Chautauqua,GERRY,GERRY-CHARLOTTE,BASS ISLAND,1,0,0,0,0,0,NO,2644.5,18953,10,0,,"GERRY, NY
(42.194749, -79.250394)"
