DATE_PERIOD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL
2008-03-21,15/9-F-12,24.0,274.072,105.916,174.498,6.696,32.08725,99.574,75.356,3192.0
2008-03-22,15/9-F-12,24.0,273.456,105.915,174.284,6.462,32.07839,99.172,75.319,3172.0
2008-03-23,15/9-F-12,24.0,272.881,105.913,174.088,6.288,32.0607,98.793,75.353,3160.0
2008-03-24,15/9-F-12,24.0,272.237,105.913,173.835,4.957,32.12839,98.402,74.812,3153.0
2008-03-25,15/9-F-12,24.0,271.684,105.91,173.644,14.906,32.0421,98.039,74.959,3131.0
2008-03-26,15/9-F-12,7.48,271.419,105.907,173.522,14.794,30.92542,97.897,75.26,960.0
2008-03-28,15/9-F-12,1.19,279.416,104.714,187.175,0.412,21.33333,92.241,24.1,73.0
2008-03-29,15/9-F-12,24.0,271.468,105.87,174.191,6.744,32.0,97.277,69.262,3137.0
2008-03-30,15/9-F-12,10.98,270.742,105.902,173.373,10.981,30.68261,97.369,73.106,1431.0
2008-03-31,15/9-F-12,14.03,271.557,105.862,173.435,7.146,31.0,98.122,70.452,1951.0
2008-04-01,15/9-F-12,24.0,270.36,105.889,172.928,11.469,29.81203,97.431,73.537,3061.0
2008-04-02,15/9-F-12,24.0,269.645,105.894,172.986,12.75,31.81838,96.658,75.81,3054.0
2008-04-03,15/9-F-12,24.0,268.862,105.897,172.745,13.189,32.00095,96.117,75.921,3103.0
2008-04-04,15/9-F-12,24.0,268.18,105.897,172.49,13.273,32.0812,95.691,75.217,3111.0
2008-04-05,15/9-F-12,24.0,267.456,105.895,172.316,13.266,32.20087,95.14,75.461,3303.0
2008-04-06,15/9-F-12,24.0,266.855,105.887,172.067,13.261,32.2108,94.788,75.406,3028.0
2008-04-07,15/9-F-12,24.0,266.476,105.872,171.737,13.149,32.03321,94.74,75.27,2999.0
2008-04-08,15/9-F-12,24.0,265.9,105.861,171.356,13.064,32.04783,94.544,74.629,3054.0
2008-04-09,15/9-F-12,24.0,265.395,105.853,171.178,12.986,32.00003,94.217,74.835,3026.0
2008-04-10,15/9-F-12,24.0,264.921,105.846,171.109,12.916,31.25186,93.812,75.413,3003.0
2008-04-11,15/9-F-12,24.0,264.334,105.84,170.712,12.716,31.94415,93.622,74.198,3016.0
2008-04-12,15/9-F-12,12.98,264.008,105.838,170.859,12.549,30.88504,93.149,73.895,1615.0
2008-04-13,15/9-F-12,4.0,268.096,105.48,174.478,2.114,25.82296,93.618,48.682,430.0
2008-04-14,15/9-F-12,21.26,265.611,105.617,181.727,6.66,28.7635,83.884,64.021,2579.0
2008-04-15,15/9-F-12,20.55,263.676,105.818,170.639,10.546,32.0605,93.037,74.167,2494.0
2008-04-16,15/9-F-12,24.0,263.01,105.646,170.01,11.03,31.90408,93.0,74.464,2848.0
2008-04-17,15/9-F-12,9.38,262.978,105.809,170.166,11.544,31.65348,92.812,74.871,1121.0
2008-04-18,15/9-F-12,21.57,263.174,105.786,170.289,7.94,31.71874,92.884,72.28,2448.0
2008-04-19,15/9-F-12,22.71,263.142,105.777,170.12,9.925,30.03349,93.021,73.227,2514.0
2008-04-20,15/9-F-12,24.0,262.17,105.787,169.532,11.18,31.48322,92.639,75.046,2753.0
2008-04-21,15/9-F-12,24.0,261.61,105.783,169.285,11.257,31.51978,92.326,74.864,2752.0
2008-04-22,15/9-F-12,24.0,261.115,105.777,168.946,11.16,31.48301,92.169,74.25,2737.0
2008-04-23,15/9-F-12,24.0,260.558,105.771,168.698,11.011,31.48727,91.86,73.584,2736.0
2008-04-24,15/9-F-12,24.0,260.127,105.769,168.549,10.907,30.81425,91.578,73.696,2730.0
2008-04-25,15/9-F-12,24.0,260.523,105.781,168.745,10.937,31.49891,91.778,74.271,2728.0
2008-04-26,15/9-F-12,24.0,261.141,105.794,168.901,10.915,31.41246,92.24,73.417,2747.0
2008-04-27,15/9-F-12,15.96,260.417,105.816,169.706,11.6,31.48973,90.712,75.758,1986.0
2008-04-29,15/9-F-12,5.25,263.69,105.502,174.685,1.852,25.8431,89.005,51.514,547.0
2008-04-30,15/9-F-12,24.0,261.282,105.78,170.419,7.151,32.54397,90.862,68.966,3012.0
2008-05-01,15/9-F-12,24.0,260.789,105.839,170.119,10.634,33.43435,90.67,74.21,3168.0
2008-05-02,15/9-F-12,24.0,261.179,105.853,170.408,11.451,33.39043,90.772,75.907,3164.0
2008-05-03,15/9-F-12,24.0,261.609,105.863,170.549,11.855,33.37373,91.06,76.329,3173.0
2008-05-04,15/9-F-12,24.0,262.088,105.873,170.717,12.023,33.37489,91.371,75.438,3189.0
2008-05-05,15/9-F-12,24.0,262.653,105.882,170.937,12.269,33.30928,91.716,76.316,3187.0
2008-05-06,15/9-F-12,24.0,263.043,105.887,171.237,12.532,33.22143,91.807,77.025,3177.0
2008-05-07,15/9-F-12,24.0,263.488,105.893,171.385,12.594,33.11139,92.103,77.246,3171.0
2008-05-08,15/9-F-12,24.0,263.919,105.902,171.522,12.716,33.05832,92.397,77.339,3171.0
2008-05-09,15/9-F-12,24.0,264.351,105.908,171.572,12.818,33.02385,92.779,77.022,3188.0
2008-05-10,15/9-F-12,24.0,264.227,105.918,172.649,13.349,34.09644,91.579,77.482,3416.0
2008-05-11,15/9-F-12,24.0,264.088,105.919,174.476,14.155,35.62917,89.612,78.753,3702.0
2008-05-12,15/9-F-12,24.0,264.088,105.919,176.444,14.629,36.16034,87.644,79.103,4002.0
2008-05-13,15/9-F-12,24.0,264.088,105.919,178.22,15.169,37.29413,85.868,79.544,4253.0
2008-05-14,15/9-F-12,24.0,264.088,105.919,178.342,15.355,38.21142,85.746,79.715,4280.0
2008-05-15,15/9-F-12,24.0,264.088,105.919,179.661,15.704,39.27145,84.427,80.168,4440.0
2008-05-16,15/9-F-12,24.0,264.088,105.919,180.64,15.924,40.14758,83.448,80.266,4583.0
2008-05-17,15/9-F-12,24.0,264.088,105.919,181.259,15.919,40.7275,82.829,80.159,4677.0
2008-05-18,15/9-F-12,24.0,264.088,105.919,181.248,15.688,40.74857,82.84,80.045,4689.0
2008-05-19,15/9-F-12,24.0,264.088,105.919,181.16,15.807,40.7554,82.928,80.199,4688.0
2008-05-20,15/9-F-12,24.0,297.646,72.715,216.382,16.087,42.15901,81.264,80.581,4886.0
2008-05-21,15/9-F-12,24.0,257.2,39.554,177.029,16.365,43.10056,80.171,80.78,5013.0
2008-05-22,15/9-F-12,24.0,258.146,106.082,177.926,16.432,43.12246,80.22,80.85,5018.0
2008-05-23,15/9-F-12,24.0,258.333,106.145,178.13,16.469,43.09233,80.202,81.048,5019.0
2008-05-24,15/9-F-12,24.0,258.339,106.15,178.167,16.468,43.19541,80.173,81.037,5034.0
2008-05-25,15/9-F-12,24.0,258.31,106.156,178.293,16.541,43.33968,80.017,81.195,5046.0
2008-05-26,15/9-F-12,24.0,258.316,106.161,178.355,16.287,43.38664,79.961,80.947,5053.0
2008-05-27,15/9-F-12,24.0,257.975,106.229,178.005,16.174,43.46183,79.97,80.865,5066.0
2008-05-28,15/9-F-12,24.0,258.424,106.172,178.263,16.017,43.48607,80.16,79.502,5072.0
2008-05-29,15/9-F-12,24.0,258.457,106.176,178.257,15.987,43.56119,80.2,78.988,5086.0
2008-05-30,15/9-F-12,20.19,260.646,106.158,177.323,15.655,40.12258,83.323,79.737,3869.0
2008-06-01,15/9-F-12,0.5,279.419,104.823,188.029,0.342,16.82769,91.39,22.055,23.0
2008-06-02,15/9-F-12,13.42,259.795,106.149,178.497,9.87,42.49382,81.298,77.772,4020.0
2008-06-05,15/9-F-12,24.0,258.422,106.175,191.395,13.687,43.41881,67.027,79.603,5040.0
2008-06-06,15/9-F-12,24.0,258.517,106.182,178.214,13.863,43.39667,80.303,79.779,5058.0
2008-06-07,15/9-F-12,24.0,258.634,106.186,178.426,14.044,43.33411,80.208,81.265,5058.0
2008-06-08,15/9-F-12,24.0,258.65,106.192,178.497,14.028,43.39009,80.153,80.787,5070.0
2008-06-09,15/9-F-12,24.0,258.707,106.197,178.449,13.965,43.40013,80.258,80.18,5081.0
2008-06-10,15/9-F-12,24.0,258.758,106.201,178.567,13.904,43.40572,80.192,80.645,5082.0
2008-06-11,15/9-F-12,24.0,258.318,106.195,178.37,13.797,43.44772,79.948,80.433,5087.0
2008-06-12,15/9-F-12,24.0,257.21,106.179,177.81,13.536,43.46068,79.4,80.327,5060.0
2008-06-13,15/9-F-12,24.0,256.563,106.176,177.528,13.376,43.45261,79.035,80.429,5032.0
2008-06-14,15/9-F-12,22.67,259.003,106.158,177.314,11.666,38.5365,81.689,77.353,4332.0
2008-06-15,15/9-F-12,24.0,256.637,106.191,177.887,13.478,43.71837,78.75,80.817,5088.0
2008-06-16,15/9-F-12,24.0,256.865,106.2,178.031,13.615,43.74744,78.834,80.861,5102.0
2008-06-17,15/9-F-12,24.0,257.122,106.208,177.957,13.572,43.83344,79.166,79.866,5103.0
2008-06-18,15/9-F-12,24.0,257.439,106.215,178.079,13.56,43.81087,79.36,79.732,5135.0
2008-06-19,15/9-F-12,24.0,257.748,106.223,178.273,13.605,42.87523,79.475,79.68,5141.0
2008-06-20,15/9-F-12,23.5,259.65,106.208,177.667,12.932,40.89223,81.984,78.968,4722.0
2008-06-21,15/9-F-12,24.0,258.762,106.219,178.304,13.704,42.8308,80.459,80.738,5038.0
2008-06-22,15/9-F-12,24.0,258.429,106.234,178.614,13.677,42.81797,79.815,79.341,5147.0
2008-06-23,15/9-F-12,24.0,258.849,106.24,178.795,13.802,43.44097,80.054,80.478,5115.0
2008-06-24,15/9-F-12,24.0,259.124,106.246,179.018,13.986,42.54713,80.106,80.874,5124.0
2008-06-25,15/9-F-12,24.0,259.314,106.252,178.925,14.022,43.48804,80.39,80.024,5135.0
2008-06-26,15/9-F-12,15.83,259.96,106.248,178.766,13.534,42.24035,81.195,79.571,4233.0
2008-06-27,15/9-F-12,24.0,259.662,106.253,179.24,13.923,43.45684,80.422,80.98,5126.0
2008-06-28,15/9-F-12,24.0,259.611,106.258,179.116,14.164,43.49251,80.495,81.106,5076.0
2008-06-29,15/9-F-12,24.0,259.687,96.227,179.477,13.964,43.49195,80.21,80.387,5121.0
2008-06-30,15/9-F-12,24.0,245.4,80.041,159.676,13.224,39.40927,85.724,79.622,4372.0
2008-07-01,15/9-F-12,22.67,264.333,106.188,177.107,11.737,36.96231,87.226,77.109,3981.0
2008-07-02,15/9-F-12,24.0,260.34,106.262,179.208,13.296,43.20357,81.132,79.224,5115.0
2008-07-03,15/9-F-12,24.0,260.494,106.269,179.097,14.015,42.98895,81.397,80.075,5084.0
2008-07-04,15/9-F-12,24.0,260.666,106.274,179.351,14.217,42.97349,81.315,81.247,5081.0
