"Year","Month","DayofMonth","DayofWeek","Carrier","CRSDepTime","DepDel15","CRSArrTime","OriginState","DestState"
2013,9,16,1,"DL",1539,0,1824,"FL","NY"
2013,9,23,1,"WN",1400,1,1425,"PA","IL"
2013,9,7,6,"AS",810,0,1614,"WA","DC"
2013,7,15,1,"OO",804,0,1027,"IL","OH"
2013,5,16,4,"DL",805,0,1117,"NY","FL"
2013,7,28,7,"UA",1251,1,1700,"TX","DC"
2013,10,6,7,"WN",2000,1,2135,"CA","NV"
2013,10,9,3,"AA",1010,0,1240,"IL","TX"
2013,5,12,7,"UA",1522,0,2017,"NV","TX"
2013,6,30,7,"OO",1404,1,1507,"CA","CA"
2013,7,21,7,"AA",930,0,1110,"FL","TX"
2013,8,4,7,"WN",1250,0,1425,"MD","KY"
2013,7,17,3,"AA",2025,1,2245,"TX","MN"
2013,10,20,7,"AS",1000,0,1243,"WA","AZ"
2013,4,15,1,"AA",1730,0,2010,"CA","HI"
2013,10,2,3,"MQ",1355,0,1550,"NY","NC"
2013,10,11,5,"DL",715,0,1403,"NV","GA"
2013,8,3,6,"DL",1932,0,2053,"GA","OH"
2013,6,4,2,"US",735,0,1019,"PA","WA"
2013,9,23,1,"WN",630,0,730,"TX","TX"
2013,9,17,2,"UA",1525,0,1759,"MA","CO"
2013,10,4,5,"DL",1403,0,1539,"MI","MD"
2013,4,20,6,"AA",1405,0,1510,"FL","FL"
2013,8,23,5,"OO",1100,0,1214,"NE","MN"
2013,7,17,3,"WN",1615,0,1730,"CA","CA"
2013,8,16,5,"FL",1525,0,1800,"FL","MD"
2013,7,18,4,"F9",605,0,936,"CA","CO"
2013,4,9,2,"WN",1155,0,1320,"CA","CA"
2013,5,16,4,"AS",2032,0,2254,"OR","CA"
2013,7,20,6,"FL",1206,0,1333,"GA","IN"
2013,6,27,4,"OO",957,0,1325,"UT","MO"
2013,10,28,1,"B6",1445,0,1551,"NV","CA"
2013,8,13,2,"WN",1845,1,2010,"CA","CA"
2013,9,22,7,"AA",2250,0,445,"CA","TN"
2013,4,29,1,"AA",1005,0,1120,"NV","CA"
2013,6,16,7,"US",2135,1,516,"AZ","NY"
2013,6,9,7,"B6",1855,1,2350,"TX","MA"
2013,10,27,7,"FL",1651,1,1719,"GA","LA"
2013,7,1,1,"VX",1255,0,1405,"CA","CA"
2013,8,11,7,"UA",1032,1,1311,"IL","CA"
2013,4,12,5,"OO",1252,0,1414,"TX","OK"
2013,5,11,6,"UA",1617,0,1904,"IL","DC"
2013,10,5,6,"WN",1005,0,1105,"TX","TX"
2013,9,7,6,"VX",1015,0,1545,"CA","TX"
2013,6,2,7,"AS",620,0,810,"CA","WA"
2013,7,24,3,"MQ",1245,0,1605,"IL","FL"
2013,5,25,6,"DL",600,0,1251,"NV","MI"
2013,5,6,1,"WN",1935,0,2100,"UT","CO"
2013,6,29,6,"DL",2210,0,7,"GA","CA"
2013,8,9,5,"OO",1001,1,1130,"MO","IL"
2013,8,15,4,"US",1539,0,1701,"FL","NC"
2013,7,1,1,"DL",955,0,1129,"GA","FL"
2013,5,6,1,"B6",1455,1,1801,"NY","FL"
2013,10,19,6,"UA",1824,0,2006,"NJ","OH"
2013,9,7,6,"YV",1025,0,1159,"OH","NC"
2013,9,4,3,"EV",1615,0,2007,"MN","NJ"
2013,9,11,3,"US",1635,0,1849,"NC","CA"
2013,8,25,7,"EV",1010,0,1325,"TN","NY"
2013,8,28,3,"US",2030,1,2152,"MA","PA"
2013,5,6,1,"WN",1755,0,2045,"CT","FL"
2013,10,22,2,"US",1350,0,1512,"GA","NC"
2013,10,25,5,"US",800,1,857,"TX","AZ"
2013,4,14,7,"WN",1525,0,1645,"MI","AZ"
2013,9,18,3,"OO",852,0,1019,"CA","CA"
2013,5,5,7,"9E",1805,0,1846,"NC","TN"
2013,8,15,4,"WN",1810,0,1945,"NY","TN"
2013,9,19,4,"WN",825,1,1055,"IL","CA"
2013,5,6,1,"WN",2055,0,2220,"TX","MO"
2013,10,18,5,"DL",1820,0,2110,"CA","UT"
2013,7,7,7,"B6",1125,0,1405,"PR","FL"
2013,8,25,7,"WN",1725,1,2250,"NV","IL"
2013,8,3,6,"UA",1336,0,1604,"NJ","NV"
2013,9,16,1,"WN",1200,0,1255,"TX","TX"
2013,4,25,4,"WN",1020,0,1330,"CO","WI"
2013,9,23,1,"DL",1700,0,1937,"NY","GA"
2013,8,24,6,"OO",1720,1,1840,"CA","CA"
2013,4,22,1,"UA",1415,0,1955,"CA","TX"
2013,10,3,4,"WN",1435,0,1555,"CA","AZ"
2013,5,4,6,"AS",1145,0,1404,"OR","CA"
2013,7,9,2,"AA",1100,0,1610,"CA","TX"
2013,7,10,3,"YV",1930,0,2047,"CA","AZ"
2013,6,18,2,"AA",1845,1,2030,"NY","IL"
2013,8,27,2,"DL",1400,0,1647,"FL","MI"
2013,7,17,3,"AA",1600,0,1715,"TX","TX"
2013,9,14,6,"OO",1056,0,1223,"IN","TX"
2013,9,12,4,"US",1359,0,1531,"FL","NC"
2013,9,26,4,"UA",1824,0,1944,"FL","TX"
2013,9,25,3,"AA",1400,0,1825,"TX","NJ"
2013,10,22,2,"DL",2205,0,2329,"GA","KY"
2013,6,10,1,"OO",1536,1,1822,"WA","CA"
2013,7,16,2,"WN",1700,0,1815,"NY","MD"
2013,8,30,5,"YV",1605,0,1803,"CA","AZ"
2013,6,25,2,"AA",1940,0,2130,"TN","TX"
2013,6,29,6,"MQ",1200,0,1220,"MI","IL"
2013,9,26,4,"WN",1145,0,1300,"CA","CA"
2013,5,9,4,"WN",1400,1,1505,"NV","CA"
2013,5,4,6,"AS",700,0,838,"CA","OR"
2013,4,26,5,"US",1355,0,1506,"AZ","NV"
2013,8,25,7,"US",828,0,1039,"FL","DC"
2013,8,1,4,"MQ",1035,0,1105,"PA","IL"
2013,8,2,5,"WN",630,0,1225,"CA","IL"
2013,10,26,6,"WN",1650,1,1935,"IL","TX"
2013,5,6,1,"WN",1145,0,1330,"CA","AZ"
2013,10,30,3,"WN",1925,0,2050,"OR","CA"
2013,4,18,4,"US",1100,0,1640,"CO","PA"
2013,10,29,2,"VX",2035,0,2310,"WA","CA"
2013,8,3,6,"EV",1002,0,1102,"TX","TX"
2013,4,21,7,"WN",1420,0,1535,"CA","NV"
2013,5,29,3,"DL",915,0,1033,"WI","MN"
2013,4,13,6,"WN",1335,0,1440,"NY","MD"
2013,8,6,2,"AA",705,1,940,"FL","PR"
2013,10,19,6,"F9",1800,0,1918,"CO","CA"
2013,7,5,5,"DL",1115,0,1254,"FL","GA"
2013,5,29,3,"DL",1310,0,1636,"MN","NC"
2013,8,12,1,"EV",1849,0,2104,"NJ","MO"
2013,7,10,3,"UA",600,0,733,"CA","CA"
2013,5,10,5,"WN",1620,1,1725,"CA","NV"
2013,8,14,3,"DL",2200,0,2258,"UT","CA"
2013,4,25,4,"DL",705,1,951,"NY","FL"
2013,6,20,4,"US",1220,0,2023,"CA","DC"
2013,9,8,7,"UA",1720,0,1940,"IL","CA"
2013,4,14,7,"DL",845,0,922,"MI","TN"
2013,5,9,4,"US",755,0,920,"NC","PA"
2013,8,4,7,"OO",1454,0,1629,"CO","CA"
2013,10,30,3,"FL",1925,0,2140,"FL","IN"
2013,10,1,2,"DL",1105,0,1236,"GA","NV"
2013,7,15,1,"WN",820,0,1420,"CA","IL"
2013,5,8,3,"US",1015,0,1234,"FL","PA"
2013,7,30,2,"US",1015,0,1133,"AZ","CA"
2013,7,24,3,"WN",1120,0,1230,"CA","CA"
2013,4,5,5,"DL",1502,0,1555,"UT","CA"
2013,5,4,6,"US",1440,0,1655,"MA","NC"
2013,7,14,7,"DL",1130,1,1838,"OR","MI"
2013,9,19,4,"UA",1018,1,1406,"TX","MI"
2013,8,6,2,"DL",1050,0,1459,"MN","FL"
2013,4,6,6,"YV",930,0,1018,"NC","TN"
2013,9,1,7,"F9",745,0,825,"OH","PA"
2013,6,17,1,"DL",1910,1,2241,"MN","CT"
2013,10,31,4,"WN",1200,0,1515,"CO","IL"
2013,4,10,3,"UA",2211,1,600,"AZ","NJ"
2013,8,21,3,"OO",1515,0,1719,"CA","OR"
2013,8,10,6,"DL",1949,0,2115,"GA","NC"
2013,9,14,6,"MQ",1320,0,1515,"OH","NY"
2013,8,1,4,"FL",640,0,930,"MO","GA"
2013,7,7,7,"UA",1300,1,1545,"CA","HI"
2013,5,17,5,"AA",1720,0,1830,"IL","MO"
2013,5,29,3,"AA",740,0,1010,"IL","TX"
2013,8,30,5,"B6",1050,0,1329,"FL","NY"
2013,5,14,2,"MQ",715,0,1000,"IL","NC"
2013,10,6,7,"DL",1825,1,2000,"OH","GA"
2013,7,12,5,"UA",1540,0,1823,"TX","IL"
2013,4,16,2,"DL",2145,0,27,"MN","MI"
2013,5,6,1,"OO",755,0,1045,"CA","NM"
2013,9,25,3,"UA",818,0,1426,"WA","TX"
2013,7,10,3,"UA",800,0,1036,"NJ","TX"
2013,8,17,6,"WN",1420,0,1530,"CA","AZ"
2013,7,9,2,"WN",2105,0,2210,"AZ","CA"
2013,10,4,5,"AA",745,0,1210,"TX","NY"
2013,4,6,6,"WN",1600,0,1850,"CA","NM"
2013,7,5,5,"WN",630,0,855,"IL","TX"
2013,5,12,7,"EV",1725,0,1849,"LA","TN"
2013,9,19,4,"WN",1505,0,1625,"TX","LA"
2013,8,12,1,"WN",1810,0,1920,"TX","CO"
2013,7,8,1,"US",1431,0,1521,"NC","NC"
2013,7,26,5,"OO",830,0,957,"UT","CO"
2013,8,28,3,"DL",1015,0,1155,"MI","NC"
2013,10,10,4,"DL",800,0,1007,"FL","OH"
2013,6,22,6,"UA",1302,0,1731,"TX","PA"
2013,7,6,6,"AA",1305,1,1400,"TX","CA"
2013,7,4,4,"B6",1932,0,2228,"NY","FL"
2013,5,30,4,"US",600,0,640,"MO","AZ"
2013,4,15,1,"VX",2005,0,2140,"CA","CA"
2013,5,16,4,"WN",745,0,850,"TN","MO"
2013,5,5,7,"EV",929,0,1043,"OH","IN"
2013,7,3,3,"EV",1200,0,1332,"NJ","PA"
2013,7,2,2,"FL",745,0,919,"VA","GA"
2013,4,5,5,"FL",2015,0,2214,"GA","FL"
2013,6,22,6,"WN",835,0,1355,"AZ","IL"
2013,9,22,7,"WN",1440,0,1820,"TX","FL"
2013,5,11,6,"DL",1930,1,2042,"MN","WI"
2013,10,14,1,"WN",655,0,1020,"LA","MD"
2013,4,23,2,"9E",840,0,1055,"IL","OH"
2013,7,2,2,"WN",2130,0,2225,"MD","IL"
2013,10,2,3,"9E",830,0,1007,"NY","DC"
2013,10,7,1,"DL",2315,0,625,"CA","OH"
2013,8,25,7,"WN",1500,0,1645,"OR","CA"
2013,5,1,3,"US",1015,0,1526,"CO","NC"
2013,10,5,6,"AA",710,0,845,"NY","IL"
2013,8,11,7,"AA",1705,0,1845,"MO","TX"
2013,9,1,7,"AA",1750,0,2000,"IL","NV"
2013,6,5,3,"AA",1105,0,1325,"IL","WA"
2013,6,8,6,"EV",1717,0,1904,"DC","MO"
2013,10,28,1,"AA",1015,0,1340,"TX","FL"
2013,10,4,5,"UA",1310,0,2139,"CA","NJ"
2013,10,4,5,"AA",1740,0,1955,"FL","IL"
2013,5,23,4,"MQ",820,0,1000,"NY","NC"
2013,4,9,2,"UA",1652,1,1800,"MD","IL"
2013,10,27,7,"US",935,0,1645,"NV","NC"
2013,5,13,1,"AA",2120,0,2330,"IL","CA"
2013,10,8,2,"UA",955,0,1218,"CO","NE"
2013,7,16,2,"MQ",1445,1,1555,"TX","TX"
2013,9,13,5,"DL",1100,0,1308,"NY","MI"
2013,7,7,7,"WN",1905,0,2240,"CO","LA"
2013,6,9,7,"DL",1715,0,2041,"NY","TX"
2013,10,4,5,"DL",1825,0,1953,"KY","GA"
2013,4,2,2,"AA",1120,0,1440,"MA","FL"
2013,8,13,2,"MQ",1120,0,1320,"IL","OK"
2013,4,29,1,"UA",601,0,1030,"TX","NJ"
2013,5,6,1,"B6",2205,0,557,"CA","FL"
2013,7,13,6,"DL",837,0,1029,"GA","MD"
2013,8,27,2,"9E",605,0,719,"MD","NY"
2013,5,13,1,"OO",1803,1,1946,"WI","CO"
2013,6,8,6,"UA",2105,0,2244,"CA","CA"
2013,5,27,1,"WN",1335,0,1425,"TX","TX"
2013,9,11,3,"DL",1746,0,1915,"IN","UT"
2013,4,5,5,"UA",1125,0,1449,"CO","TX"
2013,8,6,2,"DL",825,0,1207,"TN","NY"
2013,7,30,2,"UA",1800,0,1946,"NY","IL"
2013,8,27,2,"WN",1835,0,2110,"FL","MD"
2013,6,20,4,"AS",1100,0,1340,"CA","WA"
2013,4,21,7,"FL",1500,0,1710,"FL","MD"
2013,4,24,3,"WN",600,0,720,"MO","IL"
2013,10,21,1,"UA",1200,0,1425,"NJ","AZ"
2013,8,20,2,"UA",1143,1,1800,"CA","IL"
2013,10,16,3,"US",1445,0,1559,"MO","AZ"
2013,8,23,5,"WN",940,0,1135,"VA","FL"
2013,5,22,3,"OO",1020,0,1110,"CA","CA"
2013,5,31,5,"UA",1010,0,1322,"TX","FL"
2013,7,18,4,"AA",835,0,1235,"IL","FL"
2013,5,1,3,"DL",2030,0,2236,"GA","NY"
2013,10,1,2,"UA",1710,0,1830,"NJ","MA"
2013,7,21,7,"AA",1535,0,1645,"TX","TX"
2013,8,8,4,"WN",900,0,1030,"AZ","CA"
2013,6,8,6,"9E",1815,0,2023,"MI","NY"
2013,6,3,1,"WN",1915,0,2205,"TN","FL"
2013,5,29,3,"WN",730,0,850,"NV","NV"
2013,10,11,5,"DL",1953,0,2008,"MI","WI"
2013,8,4,7,"DL",1500,0,1546,"UT","OR"
2013,4,21,7,"DL",900,0,1107,"PA","GA"
2013,10,31,4,"AS",955,0,1243,"CA","WA"
2013,10,12,6,"9E",2035,0,2200,"NY","DC"
2013,5,17,5,"EV",716,0,916,"TN","CO"
2013,9,7,6,"B6",1244,0,1539,"NJ","FL"
2013,4,19,5,"WN",1535,0,1725,"TN","CO"
2013,5,23,4,"B6",1430,1,1733,"FL","CT"
2013,4,13,6,"DL",1522,0,1830,"FL","NY"
2013,4,30,2,"MQ",1720,0,1855,"NE","IL"
2013,9,24,2,"DL",1255,0,1812,"OR","MN"
2013,4,29,1,"WN",1255,0,1425,"CO","CA"
2013,9,19,4,"OO",2052,0,2257,"WA","CA"
2013,8,12,1,"WN",1545,1,1645,"MO","IL"
2013,7,1,1,"UA",600,0,826,"PA","CA"
2013,5,25,6,"WN",1030,0,1135,"TX","TX"
2013,9,22,7,"OO",2006,0,2321,"UT","OK"
2013,10,28,1,"MQ",1825,1,1925,"GA","IL"
2013,7,9,2,"EV",1000,0,1125,"NY","DC"
2013,10,5,6,"WN",630,0,950,"CA","CO"
2013,9,6,5,"WN",1350,0,1715,"CO","TN"
2013,7,20,6,"9E",1406,0,1558,"MI","RI"
2013,6,25,2,"AS",1040,0,1320,"AZ","WA"
2013,9,8,7,"B6",1500,0,1758,"NJ","FL"
2013,6,27,4,"FL",850,0,1035,"GA","FL"
2013,10,16,3,"DL",1920,0,2302,"MN","NY"
2013,8,2,5,"DL",1531,0,1835,"OK","GA"
2013,4,17,3,"WN",700,0,920,"MD","NV"
2013,8,30,5,"OO",1426,0,1558,"NM","CA"
2013,10,3,4,"DL",1315,0,1512,"GA","NY"
2013,10,27,7,"UA",1622,0,9,"NV","NJ"
2013,7,23,2,"WN",1905,0,2115,"IL","OH"
2013,4,7,7,"US",1220,0,1505,"AZ","CO"
2013,4,22,1,"DL",2330,0,616,"NV","GA"
2013,7,30,2,"OO",1826,1,1926,"UT","CA"
2013,8,27,2,"DL",1750,0,1948,"MD","GA"
2013,6,13,4,"WN",945,0,1320,"TX","NC"
2013,10,3,4,"OO",1145,0,1235,"CA","CA"
2013,6,25,2,"AA",820,0,915,"TX","TX"
2013,9,20,5,"AA",1455,0,1750,"NY","FL"
2013,7,18,4,"US",1830,1,2021,"NC","TX"
2013,9,22,7,"MQ",1105,0,1230,"FL","TN"
