depth,qc,fs,soil_type
0,0.015,3930.0,5.4,gravelly sands to dense sand
1,0.02,5060.0,5.4,gravelly sands to dense sand
2,0.025,5350.0,9.8,sands
3,0.03,5620.0,9.8,sands
4,0.035,5950.0,11.7,sands
5,0.04,6350.0,16.1,sands
6,0.045,6520.0,15.6,sands
7,0.05,6770.000000000001,23.0,sands
8,0.055,6770.000000000001,23.0,sands
9,0.06,6770.000000000001,24.9,sands
10,0.065,6770.000000000001,23.9,sands
11,0.07,6770.000000000001,24.9,sands
12,0.075,6770.000000000001,23.9,sands
13,0.08,6770.000000000001,26.9,sands
14,0.085,6770.000000000001,30.8,sands
15,0.09,6770.000000000001,34.2,sands
16,0.096,6770.000000000001,38.1,sands
17,0.101,6770.000000000001,43.0,sands
18,0.106,6770.000000000001,50.3,sands
19,0.111,6770.000000000001,57.2,sands
20,0.116,6770.000000000001,66.0,sands
21,0.121,6770.000000000001,71.8,sands
22,0.126,6770.000000000001,80.6,sands
23,0.131,6770.000000000001,86.5,sands
24,0.136,6770.000000000001,90.9,sands
25,0.141,6770.000000000001,93.4,sands
26,0.146,6770.000000000001,93.8,sands
27,0.151,6770.000000000001,96.8,sands
28,0.156,6770.000000000001,104.1,sands
29,0.161,6770.000000000001,107.5,sands
30,0.166,6770.000000000001,111.9,sands
31,0.171,6770.000000000001,125.1,sands
32,0.176,6770.000000000001,129.0,sands
33,0.181,6770.000000000001,126.1,sands
34,0.186,6770.000000000001,130.0,sands
35,0.191,6770.000000000001,143.2,sands
36,0.196,6770.000000000001,148.1,sands
37,0.201,6770.000000000001,151.0,sands
38,0.206,6770.000000000001,174.5,sands
39,0.211,6770.000000000001,197.5,sands
40,0.216,6770.000000000001,214.6,sands
41,0.221,6770.000000000001,243.9,sands
42,0.226,6770.000000000001,254.2,sands
43,0.231,6770.000000000001,253.7,sands
44,0.236,6770.000000000001,262.0,sands
45,0.241,6770.000000000001,271.3,sands
46,0.246,6770.000000000001,285.4,sands
47,0.251,6770.000000000001,295.7,sands
48,0.256,6770.000000000001,317.2,sands
