WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,LITHOLOGY_CLASS,LITHOLOGY_CLASS_CONFIDENCE
25/2-7,200.33800061,479890.5625,6641111.5,-175.3354492,NORDLAND GP.,Vaale Fm.,23.894529343,0.1270000041,0.1270000041,0.9498077631,1.7402461767,41.742553711,0.0,0.0,2.2305665016,121.83041381999999,-1.319766879,17.5,0.0,0.0,0.0,0.257283628,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,200.49000061,479890.5625,6641111.5,-175.4874573,NORDLAND GP.,Vaale Fm.,23.898000717,0.1303807199,0.1303807199,0.6337124109,1.7372319698,46.310165405,0.0,0.0,1.9324455261,121.83041381999999,1.6423951387,17.5,0.0,0.0,0.0,0.1995242089,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,200.64200061,479890.5625,6641111.5,-175.6394501,NORDLAND GP.,Vaale Fm.,23.878591537,0.2312606275,0.2312606275,0.5461806655,1.7633143663,47.531459808,0.0,0.0,1.6162712574,121.83041381999999,4.6324601173,17.5,0.0,0.0,0.0,0.1241826564,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,200.79400061,479890.5625,6641111.5,-175.7914581,NORDLAND GP.,Vaale Fm.,23.652090073,0.6145402193,0.6145402193,0.3661691844,1.7646353245,48.727859497,0.0,0.0,1.5310471058,121.83041381999999,7.9869227409,17.5,0.0,0.0,0.0,0.0505944602,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,200.94600061,479890.5625,6641111.5,-175.9434509,NORDLAND GP.,Vaale Fm.,23.595746994,1.4308843613,1.4308843613,0.292134285,1.7363289595,48.073890686,0.0,0.0,1.5541403294,121.83041381999999,10.683036804,17.5,0.0,0.0,0.0,0.0130060101,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,201.09800061,479890.5625,6641111.5,-176.095459,NORDLAND GP.,Vaale Fm.,23.815338135,1.8289268017,1.8289268017,2.5219430923,1.7126110792,47.07125473,0.0,0.0,1.6143610477,121.83041381999999,13.317074776,17.5,0.0,0.0,0.0,0.0088358596,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,201.25000061,479890.5625,6641111.5,-176.2474365,NORDLAND GP.,Vaale Fm.,23.872331619,1.7666548491,1.7666548491,2.4265758991,1.737331748,48.41475296,0.0,0.0,1.7050341368,121.83041381999999,14.809547424,17.5,0.0,0.0,0.0,0.0239991713,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,201.40200061,479890.5625,6641111.5,-176.3994446,NORDLAND GP.,Vaale Fm.,23.875,1.763079524,1.763079524,2.2781817913,1.8086211681,51.726108551,0.0,0.0,1.7170996666,121.83041381999999,15.851546288,17.5,0.0,0.0,0.0,0.0336451828,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,201.55400061,479890.5625,6641111.5,-176.5514374,NORDLAND GP.,Vaale Fm.,23.875,1.8811109066,1.8811109066,2.4097445011,1.8716795444,53.842323303,0.0,0.0,1.7019706964,121.83041381999999,16.073266983,17.5,0.0,0.0,0.0,0.0366559848,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,201.70600061,479890.5625,6641111.5,-176.7034302,NORDLAND GP.,Vaale Fm.,23.875,1.9758913517,1.9758913517,2.9789278507,1.8877779245,53.743839264,0.0,0.0,1.6808058023,121.83041381999999,16.779724121,17.5,0.0,0.0,0.0,0.0502066985,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,201.85800061,479890.5625,6641111.5,-176.8554382,NORDLAND GP.,Vaale Fm.,23.875,2.0255105495,2.0255105495,3.3873393536,1.8857089281,51.653568268,0.0,0.0,1.7460449934,121.83041381999999,18.545885086,17.5,0.0,0.0,0.0,0.0760378465,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,202.01000061,479890.5625,6641111.5,-177.007431,NORDLAND GP.,Vaale Fm.,23.875,2.0764081478,2.0764081478,3.1250288486,1.9046829939,50.834877014,0.0,0.0,1.8599865437,121.83041381999999,19.702919006,17.5,0.0,0.0,0.0,0.0933018625,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,202.16200061,479890.5625,6641111.5,-177.1594391,NORDLAND GP.,Vaale Fm.,23.875,2.1080441475,2.1080441475,3.1215817928,1.9253493547,51.439083099,0.0,0.0,2.0141980648,121.83041381999999,21.080364227,17.5,0.0,0.0,0.0,0.0780157,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,202.31400061,479890.53125,6641111.5,-177.3114319,NORDLAND GP.,Vaale Fm.,23.875,2.1146275997,2.1146275997,3.2590715885,1.9273703098,48.923885345,0.0,0.0,2.0488860607,121.83041381999999,22.850667953,17.5,0.0,0.0,0.0,0.0528127626,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,202.46600061,479890.53125,6641111.5,-177.4634247,NORDLAND GP.,Vaale Fm.,23.875,2.1060774326,2.1060774326,3.3470253944,1.912379384,49.706562042,0.0,0.0,1.9153898954,121.83041381999999,23.472227097,17.5,0.0,0.0,0.0,0.0561225601,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,202.61800061,479890.53125,6641111.5,-177.6154175,NORDLAND GP.,Vaale Fm.,23.875,2.0781280994,2.0781280994,3.3892974854,1.8693295717,47.075126648,0.0,0.0,1.7645145655,121.83041381999999,23.385810852,17.5,0.0,0.0,0.0,0.0790496096,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,202.77000061,479890.53125,6641111.5,-177.7674255,NORDLAND GP.,Vaale Fm.,23.875,2.040569067,2.040569067,3.6321356297,1.7922098637,48.188327789,0.0,0.0,1.6773970127,121.83041381999999,24.00440979,17.5,0.0,0.0,0.0,0.087228097,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,202.92200061,479890.53125,6641111.5,-177.9194183,NORDLAND GP.,Vaale Fm.,23.875,2.0193440914,2.0193440914,3.7444267273,1.7341717482,49.327877045,0.0,0.0,1.689607501,121.83041381999999,24.526691437,17.5,0.0,0.0,0.0,0.0807605088,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,203.07400061,479890.53125,6641111.5,-178.0714264,NORDLAND GP.,Vaale Fm.,23.875,2.0079936981,2.0079936981,2.9621725082,1.7328190804,52.077232361,0.0,0.0,1.7845337391,121.83041381999999,23.927457809,17.5,0.0,0.0,0.0,0.0621636175,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,203.22600061,479890.53125,6641111.5,-178.2234192,NORDLAND GP.,Vaale Fm.,23.875,1.9972213507,1.9972213507,2.7344720364,1.7813510895,52.519489288,0.0,0.0,1.884599328,121.83041381999999,24.01776123,17.5,0.0,0.0,0.0,0.0380210876,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,203.37800061,479890.53125,6641111.5,-178.3754272,NORDLAND GP.,Vaale Fm.,23.875,1.9719327688,1.9719327688,2.7158641815,1.839994669,52.120605469,0.0,0.0,1.9737442732,121.83041381999999,24.916805267,17.5,0.0,0.0,0.0,0.0194591507,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,203.53000061,479890.53125,6641111.5,-178.52742,NORDLAND GP.,Vaale Fm.,23.875,1.9509375095,1.9509375095,2.7296481133,1.8877239227,53.988330841,0.0,0.0,2.0377588272,121.83041381999999,25.899188995,17.5,0.0,0.0,0.0,0.0199693237,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,203.68200061,479890.53125,6641111.5,-178.6794128,NORDLAND GP.,Vaale Fm.,23.875,1.9422593117,1.9422593117,2.7632339001,1.9270658493,55.339885712,0.0,0.0,2.0893468857,121.83041381999999,26.705221176,17.5,0.0,0.0,0.0,0.0344505459,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,203.83400061,479890.53125,6641111.5,-178.8314056,NORDLAND GP.,Vaale Fm.,23.875,1.9260369539,1.9260369539,2.8332147598,1.9357886314,55.759883881,0.0,0.0,2.1034557819,121.83041381999999,26.705343246,17.5,0.0,0.0,0.0,0.0340568423,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,203.98600061,479890.53125,6641111.5,-178.9834137,NORDLAND GP.,Vaale Fm.,23.875,1.9008078575,1.9008078575,2.9418327808,1.9328560829,54.218090057,0.0,0.0,2.1036975384,121.83041381999999,26.833892822,17.5,0.0,0.0,0.0,0.0306420084,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,204.13800061,479890.53125,6641111.5,-179.1354065,NORDLAND GP.,Vaale Fm.,23.875,1.9082980156,1.9082980156,3.0491352081,1.9508001804,57.545921326,0.0,0.0,2.1575577259,121.83041381999999,27.125841141,17.5,0.0,0.0,0.0,0.0394000895,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,204.29000061,479890.53125,6641111.5,-179.2873993,NORDLAND GP.,Vaale Fm.,23.862506866,1.998542428,1.998542428,3.1608815193,2.0012841225,57.790168762,0.0,0.0,2.1942489147,121.83041381999999,27.157356262,17.5,0.0,0.0,0.0,0.0537114441,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,204.44200061,479890.53125,6641111.5,-179.4394073,NORDLAND GP.,Vaale Fm.,22.985939026,2.155094862,2.155094862,3.2932298183,2.0599095821,58.582458496,0.0,0.0,2.2454612255,121.83041381999999,27.049871445,17.5,0.0,0.0,0.0,0.0538874827,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,204.59400061,479890.53125,6641111.5,-179.5914001,NORDLAND GP.,Vaale Fm.,21.203889847,2.3517463207,2.3517463207,3.4842948914,2.1016924381,58.923786163,0.0,0.0,2.2361624241,121.83041381999999,26.04164505,17.5,0.0,0.0,0.0,0.0367150679,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,204.74600061,479890.53125,6641111.5,-179.7434082,NORDLAND GP.,Vaale Fm.,19.979454041,2.5238022804,2.5238022804,3.6822714806,2.1440038681,60.505512238,0.0,0.0,2.2629709244,121.83041381999999,27.046438217,17.5,0.0,0.0,0.0,0.025044648,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,204.89800061,479890.53125,6641111.5,-179.895401,NORDLAND GP.,Vaale Fm.,19.659881592,2.6371469498,2.6371469498,3.8531422615,2.1832690239,60.680568695,0.0,0.0,2.3107731342,121.83041381999999,27.938720703,17.5,0.0,0.0,0.0,0.0199190471,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,205.05000061,479890.53125,6641111.5,-180.0473938,NORDLAND GP.,Vaale Fm.,19.61457634,2.6990916729,2.6990916729,3.9461882114,2.2081196308,59.372192383,0.0,0.0,2.3607394695,121.83041381999999,28.451490402,17.5,0.0,0.0,0.0,0.0128591591,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,205.20200061,479890.53125,6641111.5,-180.1993866,NORDLAND GP.,Vaale Fm.,19.501907349,2.7377347946,2.7377347946,3.9332098961,2.218354702,62.008033752,0.0,0.0,2.3294818401,121.83041381999999,28.58467865,17.5,0.0,0.0,0.0,0.0094701014,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,205.35400061,479890.53125,6641111.5,-180.3513947,NORDLAND GP.,Vaale Fm.,19.350057602,2.7208781242,2.7208781242,3.8615760803,2.2146630287,64.460540771,0.0,0.0,2.2935731411,121.83041381999999,28.949035645,17.5,0.0,0.0,0.0,0.0074751084,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,205.50600061,479890.53125,6641111.5,-180.5033875,NORDLAND GP.,Vaale Fm.,19.247653961,2.6523089409,2.6523089409,3.8048267365,2.204641819,65.222488403,0.0,0.0,2.2906925678,121.83041381999999,29.244588852,17.5,0.0,0.0,0.0,0.0054803253,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,205.65800061,479890.53125,6641111.5,-180.6553955,NORDLAND GP.,Vaale Fm.,19.14371109,2.5649616718,2.5649616718,3.758980751,2.1951854229,63.564418793,0.0,0.0,2.2597112656,121.83041381999999,29.374061584,17.5,0.0,0.0,0.0,0.0019712744,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,205.81000061,479890.53125,6641111.5,-180.8073883,NORDLAND GP.,Vaale Fm.,19.011356354,2.5633416176,2.5633416176,3.7201242447,2.1945092678,63.941749573,0.0,0.0,2.2919089794,121.83041381999999,29.390972137,17.5,0.0,0.0,0.0,-0.002018404,0.0,0.0,0.0,0.0,Sandstone/Shale,2
