WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,LITHOLOGY_CLASS,LITHOLOGY_CLASS_CONFIDENCE
25/2-7,204.59400061,479890.53125,6641111.5,-179.5914001,NORDLAND GP.,Vaale Fm.,21.203889847,2.3517463207,2.3517463207,3.4842948914,2.1016924381,58.923786163,0.0,0.0,2.2361624241,121.83041382,26.04164505,17.5,0.0,0.0,0.0,0.0367150679,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,206.72200061,479890.53125,6641111.5,-181.7193756,NORDLAND GP.,Vaale Fm.,18.907993317,2.6766240597,2.6766240597,3.5779006481,2.2227833271,63.073738098,0.0,0.0,2.2962782383,146.03553772,30.308666229,17.5,0.0,0.0,0.0,0.0072611365,0.0,0.0,0.0,0.0,Sandstone/Shale,2
25/2-7,208.85000061,479890.53125,6641111.5,-183.8473511,NORDLAND GP.,Vaale Fm.,18.785766602,2.6711969376,2.6711969376,3.6191887856,2.2100000381,62.495113373,0.0,0.0,2.2323644161,146.2802887,31.651475906,17.5,3.6965501308,0.0,0.0,0.0060000001,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,212.80200061,479890.53125,6641111.5,-187.7993011,NORDLAND GP.,Vaale Fm.,19.37743187,2.2081429958,2.2081429958,2.8738164902,2.1576337814,63.315563202,0.0,0.0,2.2298181057,152.76202393,30.419712067,17.5,1.4541317225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,212.95400061,479890.53125,6641111.5,-187.9512939,NORDLAND GP.,Vaale Fm.,19.465328217,2.1954393387,2.1954393387,2.8624799252,2.156106472,61.012447357,0.0,0.0,2.1929068565,152.89797974,30.159151077,17.5,1.35849154,0.0,0.0,-0.000631159,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,213.71400061,479890.53125,6641111.5,-188.7112885,NORDLAND GP.,Vaale Fm.,19.648580551,2.1798756123,2.1798756123,2.955467701,2.1618540287,60.670742035,0.0,0.0,2.2402925491,153.10877991,31.505842209,17.5,1.1781995296,0.0,0.0,0.0051459521,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,214.32200061,479890.53125,6641111.5,-189.3192902,NORDLAND GP.,Vaale Fm.,19.395557404,2.2539999485,2.2539999485,2.9856383801,2.1625695229,67.9529953,0.0,0.0,2.269285202,153.79785156,29.329645157,17.5,0.6758478284,0.0,0.0,0.0056075924,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,215.84200061,479890.5,6641111.5,-190.8392487,NORDLAND GP.,Vaale Fm.,19.634302139,2.135641098,2.135641098,2.8841602802,2.1323254108,61.550060272,0.0,0.0,2.1834669113,155.78274536,29.900218964,17.5,0.9003099799,0.0,0.0,0.0095813321,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,215.99400061,479890.5,6641111.5,-190.9912567,NORDLAND GP.,Vaale Fm.,19.681512833,2.1216757298,2.1216757298,2.8884649277,2.1345787048,64.126953125,0.0,0.0,2.1685731411,156.76411438,30.288738251,17.5,0.9007880092,0.0,0.0,0.0088425307,0.0,0.0,0.0,0.0,Sandstone/Shale,1
25/2-7,216.90600061,479890.5,6641111.5,-191.903244,NORDLAND GP.,Vaale Fm.,19.371097565,2.2410435677,2.2410435677,2.9315495491,2.1471259594,62.352806091,0.0,0.0,2.1872425079,155.20271301,29.790109634,17.5,0.7640299797,0.0,0.0,0.0025629413,0.0,0.0,0.0,0.0,Sandstone/Shale,1
