holiday,ds,lower_window,upper_window
opec_meeting,2024-06-02,0,2
opec_meeting,2024-04-03,0,2
opec_meeting,2024-02-01,0,2
opec_meeting,2023-11-30,0,2
opec_meeting,2023-10-04,0,2
opec_meeting,2023-06-04,0,2
opec_meeting,2023-04-03,0,2
opec_meeting,2023-02-01,0,2
opec_meeting,2022-12-04,0,2
opec_meeting,2022-10-05,0,2
opec_meeting,2022-09-05,0,2
opec_meeting,2022-08-03,0,2
opec_meeting,2022-06-30,0,2
opec_meeting,2022-06-02,0,2
opec_meeting,2022-05-05,0,2
opec_meeting,2022-03-31,0,2
opec_meeting,2022-03-02,0,2
opec_meeting,2022-02-02,0,2
opec_meeting,2022-01-04,0,2
opec_meeting,2021-12-02,0,2
opec_meeting,2021-12-01,0,2
opec_meeting,2021-11-04,0,2
opec_meeting,2021-10-04,0,2
opec_meeting,2021-09-01,0,2
opec_meeting,2021-07-01,0,2
opec_meeting,2021-06-01,0,2
opec_meeting,2021-04-01,0,2
opec_meeting,2021-03-04,0,2
opec_meeting,2021-03-03,0,2
opec_meeting,2020-12-01,0,2
opec_meeting,2020-11-30,0,2
opec_meeting,2020-06-10,0,2
opec_meeting,2020-06-09,0,2
opec_meeting,2020-03-06,0,2
opec_meeting,2020-03-05,0,2
opec_meeting,2019-12-05,0,2
opec_meeting,2019-07-01,0,2
opec_meeting,2018-12-06,0,2
opec_meeting,2018-06-22,0,2
opec_meeting,2018-06-21,0,2
opec_meeting,2017-11-30,0,2
opec_meeting,2017-05-25,0,2
opec_meeting,2016-11-30,0,2
opec_meeting,2016-09-28,0,2
opec_meeting,2016-06-02,0,2
opec_meeting,2015-12-04,0,2
opec_meeting,2015-06-05,0,2
opec_meeting,2014-11-27,0,2
opec_meeting,2014-06-11,0,2
opec_meeting,2013-12-04,0,2
opec_meeting,2013-05-31,0,2
opec_meeting,2009-03-14,0,2
opec_meeting,2008-12-16,0,2
opec_meeting,2008-11-28,0,2
