TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,TransactionDate,MonthTransaction,TransactionAmount(IDR),CustAccountBalance(IDR)
T3,C4417068,1996-11-26,F,Makassar,2016-08-02,February,85167.45000000001,3316602.342
T5,C9031234,1988-03-24,F,Bandung,2016-08-02,February,327031.875,1245862.4865
T7,C7126560,1992-01-26,F,Makassar,2016-08-02,February,105021.3,180625.50300000003
T8,C1220223,1982-01-27,M,Makassar,2016-08-02,February,27461.4,17641266.447
T9,C8536061,1988-04-19,F,Surabaya,2016-08-02,February,154563.15000000002,2765986.428
T10,C6638934,1984-06-22,M,Makassar,2016-08-02,February,53644.3605,794009.2710000001
T11,C5430833,1982-07-22,M,Makassar,2016-08-02,February,48057.45,8986091.8695
T12,C6939838,1988-07-07,M,Surabaya,2016-08-02,February,37481.100000000006,2711527.503
T13,C6339347,1978-06-13,M,Jakarta,2016-08-02,February,2282265.0,5988585.4290000005
T14,C8327851,1992-05-01,F,Semarang,2016-08-01,January,9277.5,11123804.142
T15,C7917151,1978-03-24,M,Bandung,2016-08-01,January,62715.9,1874210.862
T18,C8967349,1989-07-16,M,Makassar,2016-08-01,January,10019.7,404100.0675
T19,C3732016,1991-11-01,M,Makassar,2016-08-01,January,58448.25,6089040.3435
T20,C8999019,1985-06-24,M,Bandung,2016-08-01,January,175344.75,1974901.425
T21,C6121429,1993-04-20,M,Bandung,2016-08-01,January,6679.8,544444.521
T24,C5830215,1986-01-10,M,Surabaya,2016-08-03,March,53995.05,2387735.331
T25,C1219943,1991-05-17,F,Surabaya,2016-08-03,March,351060.60000000003,547576.605
T26,C5521085,1993-02-24,M,Surabaya,2016-08-03,March,44903.100000000006,611895.657
T27,C5430368,1986-01-02,M,Jakarta,2016-08-03,March,1020525.0,53022.768
T28,C2416848,1993-01-04,M,Jakarta,2016-08-03,March,414704.25,3894074.763
T32,C5652115,1991-06-26,F,Surabaya,2016-08-03,March,1855.5,1184651.397
T33,C1889073,1985-02-25,F,Jakarta,2016-08-03,March,141018.0,10723248.0795
T34,C2043652,1979-07-25,F,Makassar,2016-08-03,March,1261740.0,22967731.545
T35,C7017047,1977-04-23,M,Surabaya,2016-08-03,March,20410.5,7371.9015
T37,C4320949,1984-10-25,F,Jakarta,2016-08-03,March,200579.55,39533.283
T38,C2331533,1997-12-30,F,Surabaya,2016-08-03,March,556464.4500000001,8280675.301500001
T39,C5338459,1984-03-01,M,Jakarta,2016-08-03,March,250492.50000000003,21011448.207
T40,C5120181,1985-06-25,M,Makassar,2016-08-03,March,126730.65,459685.281
T42,C7923455,1992-06-10,M,Jakarta,2016-08-03,March,2226.6000000000004,1078197.651
T43,C2733968,1992-06-12,F,Jakarta,2016-08-03,March,33213.450000000004,2327758.149
T44,C2023055,1993-07-30,M,Makassar,2016-08-03,March,78264.99,1972559.784
T45,C1289591,1990-10-28,M,Surabaya,2016-08-03,March,166995.0,52409644.002
T46,C3526781,1980-02-11,M,Jakarta,2016-08-03,March,16699.5,294918.73650000006
