TransactionID,CustLocation,TransactionDate,TransactionAmount(IDR),CustAccountBalance(IDR)
T123,,,,
T234,,,,
T910,Jakarta,2016-03-08,120000.0,2560000.0
T345,,,,
T456,,,,
T678,,,,
T789,,,,
T3,Makassar,2016-02-08,85167.45000000001,
T5,Bandung,2016-02-08,327031.875,
T7,Makassar,2016-02-08,105021.3,
T8,Makassar,2016-02-08,27461.4,17641266.447
T9,Surabaya,2016-02-08,154563.15000000002,2765986.428
T10,Makassar,2016-02-08,53644.3605,794009.2710000001
T11,Makassar,2016-02-08,48057.45,8986091.8695
T12,Surabaya,2016-02-08,37481.100000000006,2711527.503
T13,Jakarta,2016-02-08,2282265.0,5988585.4290000005
T14,Semarang,2016-01-08,9277.5,11123804.142
T15,Bandung,2016-01-08,62715.9,1874210.862
T17,Makassar,2016-01-08,264058.0605,14379225.0825
T18,Makassar,2016-01-08,10019.7,404100.0675
