ID,DATE,MAINTENANCE_VENDOR,MANUFACTURER,S15,S17,S16,AGE_OF_EQUIPMENT
99994,,,,,,,
99995,,,,,,,
99996,,,,,,,
99997,2014-11-30,Kinetra Engineering,Quantum Forge,19.25873,100.26453,5.20087,650.0
99998,,,,,,,
99999,,,,,,,
100000,,,,,,,
100001,2014-12-02,Optimech Solutions,Yokentra Industries,11.088,145.223448,8.426869,
100002,2014-12-02,Liftek Machinery Services,Rivatek Manufacturing,23.52,0.0,7.842741,
100003,2014-12-02,Liftek Machinery Services,Trimech Industries,11.128621,191.855172,9.771203,
100006,2014-12-02,Jetronix Maintenance,Steelon Industries,24.24,0.0,11.595517,980.0
100007,2014-12-02,Novamech Services,Wahana Teknikindo,18.72,0.0,2.656521,1380.0
100009,2014-12-02,Mechatronix Maintenance,Xelora Manufacturing,25.639448,15.448276,7.410466,320.0
100014,2014-12-02,Mechatronix Maintenance,Steelon Industries,6.294538,106.510345,9.165086,760.0
100015,2014-12-02,Kinetra Engineering,Ultimech Industries,6.617407,140.855172,8.314231,640.0
100016,2014-12-02,Optimech Solutions,Xelora Manufacturing,21.458483,0.037241,4.755669,320.0
100017,2014-12-02,Kinetra Engineering,Trimech Industries,12.428607,53.43,8.221066,9980.0
100018,2014-12-02,Jetronix Maintenance,Trimech Industries,18.987807,0.32,6.950141,680.0
100019,2014-12-02,Mechatronix Maintenance,Quantum Forge,0.0,0.0,5.8962,740.0
100020,2014-12-02,Liftek Machinery Services,Yokentra Industries,5.563448,122.397241,8.490445,2880.0
