order_date,cust_id,city,state,prodname,categoryname,price,quantity,total
2020-01-01,1866,Jackson,Mississippi,Polar Robots,eBooks,23.99,2,47.98
2020-01-01,1567,Katy,Texas,RWW-75 Robot,Robots,883,3,2649
2020-01-01,2064,Saint Petersburg,Florida,Drone Video Techniques,Training Videos,37.99,6,227.94
2020-01-01,287,Honolulu,Hawaii,BYOD-220,Drone Kits,69,1,69
2020-01-01,422,Des Moines,Iowa,SCARA Robots,eBooks,19.5,5,97.5
2020-01-01,954,Birmingham,Alabama,Spherical Robots,eBooks,16.75,5,83.75
2020-01-02,726,Houston,Texas,BYOR-2640S,Robot Kits,189,2,378
2020-01-02,1740,San Diego,California,Understanding Automation,Training Videos,44.95,1,44.95
2020-01-02,1652,Des Moines,Iowa,Drone Video Techniques,Training Videos,37.99,2,75.98
2020-01-02,1431,Sacramento,California,DTE-QFN20 Drone,Drones,250,2,500
2020-01-02,270,Washington,District of Columbia,BYOR-2640S,Robot Kits,189,2,378
2020-01-02,815,Washington,District of Columbia,BYOD-100,Drone Kits,54,5,270
2020-01-02,157,Birmingham,Alabama,Fixed Wing Drones,eBooks,15.5,3,46.5
2020-01-02,179,West Palm Beach,Florida,Ladybug Robot Blueprint,Blueprints,12,2,24
2020-01-02,832,Virginia Beach,Virginia,BYOR-3000,Robot Kits,214,2,428
2020-01-03,1465,Torrance,California,BYOD-350,Drone Kits,89.95,3,269.85
2020-01-03,678,Charlotte,North Carolina,MICR-23K Robot,Robots,899,2,1798
2020-01-03,1644,Stamford,Connecticut,DA-SA702 Drone,Drones,399,4,1596
2020-01-03,806,Green Bay,Wisconsin,Drone Video Techniques,Training Videos,37.99,3,113.97
2020-01-04,997,Sarasota,Florida,BYOD-550,Drone Kits,179,2,358
2020-01-04,1272,Palatine,Illinois,Drone Video Techniques,Training Videos,37.99,3,113.97
2020-01-04,832,Virginia Beach,Virginia,BYOD-350,Drone Kits,89.95,4,359.8
2020-01-04,1313,Charlotte,North Carolina,DC-304 Drone,Drones,395,3,1185
2020-01-04,638,Albany,New York,MICR-23K Robot,Robots,899,5,4495
2020-01-05,292,Sacramento,California,RTF Drones,eBooks,16.99,5,84.94999999999999
2020-01-05,1865,Charlotte,North Carolina,AI for Educators,Training Videos,49.95,2,99.9
2020-01-05,1766,Washington,District of Columbia,Spherical Robots,eBooks,16.75,5,83.75
2020-01-05,281,Boynton Beach,Florida,SCARA Robots,eBooks,19.5,4,78
2020-01-06,889,Oakland,California,Helicopter Drones,eBooks,20.95,5,104.75
2020-01-06,435,Flushing,New York,Single Rotor Drones,eBooks,14.99,6,89.94
2020-01-06,811,Atlanta,Georgia,Understanding 3D Printing,Training Videos,42.99,1,42.99
2020-01-06,148,Mobile,Alabama,BYOD-220,Drone Kits,69,3,207
2020-01-06,157,Birmingham,Alabama,RWW-75 Robot,Robots,883,3,2649
2020-01-06,841,Melbourne,Florida,BYOR-3535,Robot Kits,225,4,900
2020-01-07,814,Syracuse,New York,Cartesian Robots,eBooks,12.99,5,64.95
2020-01-07,1930,Jackson,Mississippi,DX-145 Drone,Drones,250,5,1250
2020-01-07,426,Oklahoma City,Oklahoma,BYOR-3000,Robot Kits,214,4,856
2020-01-07,1336,Reno,Nevada,Drone Video Techniques,Training Videos,37.99,2,75.98
2020-01-07,1708,Lincoln,Nebraska,Articulated Robots,eBooks,23.99,1,23.99
2020-01-07,43,Columbus,Ohio,DX-145 Drone,Drones,250,4,1000
2020-01-07,378,Miami,Florida,Building Your First Robot,eBooks,24.95,6,149.7
2020-01-07,856,Pensacola,Florida,AI for Educators,Training Videos,49.95,3,149.85000000000002
2020-01-07,1613,Anniston,Alabama,Creature Robot Arms Blueprint,Blueprints,12,5,60
2020-01-08,587,Shawnee Mission,Kansas,BYOR-1000,Robot Kits,189,1,189
2020-01-08,794,Columbus,Georgia,Understanding 3D Printing,Training Videos,42.99,4,171.96
2020-01-08,2104,Greensboro,North Carolina,GPS Drones,eBooks,19.99,6,119.94
2020-01-08,1166,Arlington,Virginia,BYOR-2640S,Robot Kits,189,4,756
2020-01-09,1083,Lima,Ohio,RXW-9807 Robot,Robots,599,6,3594
2020-01-09,371,El Paso,Texas,Photograph Drones,eBooks,14.99,5,74.95
2020-01-09,11,Rochester,New York,Cartesian Robots,eBooks,12.99,1,12.99
2020-01-09,1551,Hagerstown,Maryland,Single Rotor Drones,eBooks,14.99,3,44.97
2020-01-09,1542,Springfield,Illinois,RXW-9807 Robot,Robots,599,5,2995
2020-01-10,2001,Bronx,New York,RQTE-554 Robot,Robots,684,2,1368
2020-01-10,647,Dallas,Texas,DTE-QFN20 Drone,Drones,250,2,500
2020-01-10,288,Denver,Colorado,Understanding Raspberry PI,Training Videos,28.99,2,57.98
2020-01-11,934,Glendale,California,BYOD-500,Drone Kits,167,4,668
2020-01-12,1653,Los Angeles,California,GPS Drones,eBooks,19.99,6,119.94
2020-01-12,46,Tulsa,Oklahoma,Polar Robots,eBooks,23.99,4,95.96
2020-01-12,1340,Miami,Florida,Ladybug Robot Blueprint,Blueprints,12,6,72
2020-01-12,366,Columbus,Ohio,BYOR-3535,Robot Kits,225,3,675
2020-01-13,1798,Chicago,Illinois,Photograph Drones,eBooks,14.99,4,59.96
2020-01-13,133,Savannah,Georgia,Fixed Wing Drones,eBooks,15.5,4,62
2020-01-13,1101,Springfield,Illinois,Polar Robots,eBooks,23.99,1,23.99
2020-01-13,894,Sioux City,Iowa,Understanding 3D Printing,Training Videos,42.99,5,214.95000000000002
2020-01-14,628,Davenport,Iowa,Industrial 3D Printing,Training Videos,49,5,245
2020-01-14,1878,Miami,Florida,Sleepy Eye Blueprint,Blueprints,11.99,3,35.97
2020-01-14,1123,Salt Lake City,Utah,Delivery Drones,eBooks,14.99,2,29.98
2020-01-14,1214,Miami,Florida,Single Rotor Drones,eBooks,14.99,4,59.96
2020-01-14,1162,Jacksonville,Florida,MICR-564K Drone,Drones,499,6,2994
2020-01-14,1944,Chicago,Illinois,Panda Robot Blueprint,Blueprints,7.99,3,23.97
2020-01-15,185,Fresno,California,Sleepy Eye Blueprint,Blueprints,11.99,5,59.95
2020-01-15,1202,Greeley,Colorado,Delivery Drones,eBooks,14.99,5,74.95
2020-01-15,700,Washington,District of Columbia,Polar Robots,eBooks,23.99,3,71.97
