cons_12m,cons_gas_12m,cons_last_month,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,length_contract,offpeak_diff_dec_january_energy,offpeak_diff_dec_january_power,price_peak_fix_diff,price_peak_var_diff,price_off_peak_var_diff,price_off_peak_fix_diff,churn,price_off_peak_sensitivity,price_peak_var_sensitivity,price_mid_peak_var_sensitivity,price_off_peak_fix_sensitivity
0,54946,0,1,0.0,25.44,25.44,2,678.99,3,43.648,3.0,0.02005699999999999,3.7009605600000057,24.43733004,0.018479999999999996,0.028553999999999996,3.7009605600000057,1,-1.8497064179972724e-06,3.256976823268926e-05,8.397741647837623e-05,-0.005152983004738129
4660,0,0,0,0.0,16.38,16.38,1,18.89,6,13.8,7.0,-0.0037669999999999926,0.17777879999999868,0.0,0.085483,0.005334000000000005,0.1777799999999985,0,1.6331717435823786e-05,-4.941736630116903e-05,0.0,-0.0005528257067504927
544,0,0,0,0.0,28.6,28.6,1,6.6,6,13.856,6.0,-0.0046700000000000075,0.17777879999999868,0.0,0.0012810000000000044,0.0046700000000000075,0.17777879999999868,0,1.8812296438476273e-05,-1.6688493247991792e-06,0.0,-0.0006529119918990968
1584,0,0,0,0.0,30.22,30.22,1,25.46,6,13.2,6.0,-0.0045469999999999955,0.17777879999999868,0.0,0.0,0.0045469999999999955,0.17777879999999868,0,1.8251841972024675e-05,0.0,0.0,-0.0005501388079890537
4425,0,526,0,52.32,44.91,44.91,1,47.98,6,19.8,6.0,-0.006191999999999989,0.16291560000000516,0.09774935999999812,0.004169000000000006,0.008160999999999988,0.16291560000000516,0,2.680844246623991e-05,1.1030106324292872e-05,-1.0739966447771134e-05,-0.000504144442345347
8302,0,1998,0,181.21,33.12,33.12,1,118.89,4,13.2,5.0,-0.00808700000000001,-1.1999999998124622e-06,0.0,0.0042279999999998985,0.00808700000000001,1.1999999998124622e-06,1,2.941424533933853e-05,1.3841715093212817e-05,0.0,4.828800507062867e-09
45097,0,0,0,0.0,4.04,4.04,1,346.63,4,15.0,5.0,-0.004628000000000104,0.0,0.0,0.0007530000000001008,0.004628000000000104,0.0,1,1.865804686732554e-05,3.0357625953106508e-06,0.0,0.0
29552,0,1260,0,70.63,53.92,53.92,1,100.09,6,26.4,6.0,-0.007801000000000002,0.16291560000000516,0.09774935999999812,0.004168999999999909,0.008161000000000002,0.16291560000000516,0,3.157939938487582e-05,1.2161711919353722e-05,-1.0924991120750228e-05,-0.0005983252722340383
2962,0,0,0,0.0,12.82,12.82,1,42.59,4,13.2,5.0,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.004461999999999994,0.1777799999999985,0,1.582761786731753e-05,0.0,0.0,-0.0005528250130354904
26064,0,2188,0,219.59,33.42,33.42,1,329.6,6,31.5,6.0,-0.0071370000000000045,0.0,0.0,0.004472000000000004,0.009458999999999995,0.0,0,3.053126629436792e-05,1.0433409405203586e-05,-1.3794001405566316e-05,0.0
10831,0,3112,0,349.48,14.52,14.52,1,108.5,5,11.5,5.0,-0.0015469999999999928,0.17777879999999868,0.0,0.0036769999999999997,0.0015469999999999928,0.1777799999999985,0,6.236819037111457e-06,-1.4824035940180306e-05,0.0,-0.0007167254158133719
4442,0,2489,0,308.41,21.09,21.09,1,18.41,6,10.392,7.0,-0.0014959999999999973,2.1777792000000034,0.0,0.0017079999999999873,0.004627999999999993,2.1777792000000034,0,1.2829102780149726e-05,-5.063968382314141e-07,0.0,-0.003246913255397451
46121,1542867,5280,1,523.68,5.52,5.52,2,533.46,4,16.5,5.0,-0.007016000000000008,0.16291560000000516,24.43733004,0.017632999999999996,0.028939999999999994,3.7009605600000057,0,3.269636744224712e-05,8.210321088784961e-06,-1.5229334018483932e-05,5.79966589838883e-05
