Estado,Longitude,Latitude,customer_state
Acre,-9.49865,-69.629581,AC
Alagoas,-9.521841,-36.039082,AL
Amapá,2.406605,-51.428199,AM
Amazonas,-3.976318,-64.399382,AP
Bahia,-12.197327,-40.191427,BA
Ceará,-4.354732,-39.712723,CE
Distrito Federal,-15.858437,-47.596956,DF
Espírito Santo,-19.768337,-40.3565,ES
Goiás,-16.8529,-51.105,GO
Maranhão,-4.042,-45.107216,MA
Mato Grosso,-13.434091,-55.501919,MT
Mato Grosso do Sul,-20.616023,-55.095124,MS
Minas Gerais,-18.824095,-44.0345,MG
Paraná,-24.722653,-51.09548,PR
Paraíba,-6.950165,-35.588089,PB
Pará,-4.239015,-52.218322,PA
Pernambuco,-8.140122,-37.779227,PE
Piauí,-6.995318,-41.807852,PI
Rio Grande do Norte,-5.607038,-36.8261,RN
Rio Grande do Sul,-30.055067,-52.387882,RS
Rio de Janeiro,-22.7641,-42.1726,RJ
Rondônia,-11.474053,-62.226545,RO
Roraima,2.148823,-61.412437,RR
Santa Catarina,-27.257104,-49.879454,SC
Sergipe,-8.263146,-35.510823,SE
São Paulo,-22.763116,-47.9046,SP
Tocantins,-9.596869,-48.201864,TO
