News Title,News Date
"Indofarma (INAF) Resmi Rombak Petinggi, Angkat Agus Heru Jadi Dirut",30 Januari 2023 17:42 WIB
"10 Saham Top Losers Sepekan, Ada Emiten Farmasi BUMN INAF",07 Januari 2023 08:36 WIB
"Penjualan Turun, Rugi Indofarma (INAF) Capai Rp183 Miliar Kuartal III/2022",24 November 2022 11:00 WIB
"Penjualan Turun, Indofarma (INAF) Berbalik Rugi Rp90,71 Miliar",16 Agustus 2022 19:18 WIB
HISTORIA BISNIS : INAF Ekspansi Apotek,29 Juli 2022 02:00 WIB
Historia Bisnis: Kala Indofarma (INAF) Gencar Akuisisi Apotek,22 Juli 2022 17:35 WIB
KLBF dan INAF di Persimpangan Endemi,06 Juni 2022 11:46 WIB
Simak Rencana Indofarma (INAF) saat Covid-19 Transisi ke Fase Endemi,05 Juni 2022 08:21 WIB
Menkes Budi Ancam Bekukan Izin Obat yang Tidak Menggunakan Bahan Lokal,02 Juni 2022 13:05 WIB
RESTRUKTURISASI UTANG : INAF Andalkan Pinjaman Induk Usaha,02 Juni 2022 02:00 WIB
"Bayar Utang, Indofarma (INAF) Pakai Pinjaman dari Bio Farma Rp355 Miliar",31 Mei 2022 14:57 WIB
"Banting Setir Bisnis Alkes dan Herbal, Begini Rencana Bisnis Indofarma (INAF) Tahun Ini",31 Mei 2022 14:10 WIB
"Indofarma (INAF) Mengebon Rp355 Miliar ke Bio Farma, Buat Apa?",23 April 2022 12:22 WIB
"Pendapatan Indofarma (INAF) Tumbuh Tapi Berbalik Rugi pada 2021, Kok Bisa?",20 April 2022 09:47 WIB
"Begini Khasiat Avimac, Suplemen yang Diproduksi Neumedik Indonesia",19 Maret 2022 10:46 WIB
Historia Bisnis : Grup Hary Tanoe Kejar Saham Indofarma (INAF),10 Januari 2022 10:20 WIB
"Suntikan 'Obat Kuat' BUMN Farmasi, Harga Saham Mantul Lagi di 2022?",30 Desember 2021 03:00 WIB
Begini Rencana Erick Thohir di Entitas Holding Farmasi INAF dan KAEF,27 Desember 2021 16:10 WIB
"Simak Rencana Bio Farma Menyambut 2022, Paket Lengkap Holding Farmasi",03 Desember 2021 17:15 WIB
"Bio Farma Sebut Pendapatan Naik 164 Persen, Berapa Kontribusi Urus Covid-19?",03 Desember 2021 16:01 WIB
DAMPAK PEMBENTUKAN HOLDING : INAF & KAEF Refocusing Bisnis,02 Desember 2021 02:00 WIB
Holding Farmasi Bikin Indofarma (INAF) Fokus Bisnis Alkes dan Herbal,01 Desember 2021 20:15 WIB
Indofarma (INAF) Tarik Dana PMN Rp199 Miliar untuk Belanja Modal 2022,01 Desember 2021 12:50 WIB
Bos Indofarma (INAF): Pandemi Pengalaman Tak Terlupakan,01 Desember 2021 08:20 WIB
"Intip Strategi Indofarma (INAF) Tahun Depan, Ada Bisnis dan Produk Baru",30 November 2021 20:55 WIB
"Indofarma (INAF) Sabet TOP BUMN Awards 2021, Perjalanan Panjang dari Rumah Sakit Pemerintah Hindia Belanda",30 November 2021 14:54 WIB
"Kuartal III/2021: Pendapatan Indofarma (INAF) Melejit 99,91 Persen",01 November 2021 12:59 WIB
Historia Bisnis : Investor Korsel & Singapura Incar Indofarma (INAF),22 Oktober 2021 13:30 WIB
Putar Otak INAF hingga PBID Hadapi Krisis Energi China,05 Oktober 2021 13:00 WIB
Catat! Harga Tes Antigen di 64 Stasiun Ini Turun Jadi Rp45 Ribu,23 September 2021 10:51 WIB
Kemenperin Bidik Impor Bahan Baku Obat Turun 40 Persen,13 September 2021 14:51 WIB
"Kinerja Indofarma (INAF) Bugar Semester I/2021, Apa Resepnya?",05 September 2021 18:43 WIB
"Indofarma (INAF) Dapat Suntikkan Dana Rp199,8 Miliar dari Bio Farma, Ini Keuntungannya",03 September 2021 10:55 WIB
PINJAMAN PEMEGANG SAHAM : Bio Farma Akan Suntik INAF,03 September 2021 02:00 WIB
KPK Kawal Pengadaan Vaksin Covovax dari India oleh Indofarma,02 September 2021 09:04 WIB
Jokowi: Kemandirian Industri Obat Jadi Kelemahan Serius. Kode Keras untuk KAEF & INAF?,16 Agustus 2021 12:14 WIB
Asa KLBF dan INAF Menjaga Kilau Kinerja Semester I/2021,02 Agustus 2021 05:30 WIB
Semester I/2021: Penjualan Indofarma (INAF) Melejit 90 Persen,01 Agustus 2021 15:43 WIB
Indofarma (INAF) Genjot Produksi Persediaan Obat Covid-19,30 Juli 2021 19:47 WIB
"Gandeng Indofarma, BTN Harapkan Kenaikan Kredit dan Dana Murah",16 Juli 2021 17:56 WIB
"Kena Sentimen Vaksin Individu Berbayar, Saham Farmasi Hijau Berjamaah",12 Juli 2021 13:12 WIB
"Indofarma (INAF) Mulai ""Ngegas"" Produksi Obat Covid-19",07 Juli 2021 16:36 WIB
"PPKM Darurat, KAI Tambah 45 Stasiun Layani Rapid Test Antigen",06 Juli 2021 09:25 WIB
Ngeri-ngeri Sedap Prospek Saham Emiten Farmasi Pelat Merah,06 Juli 2021 08:05 WIB
"Obat Covid-19 Mahal, Erick Thohir Perintahkan Farmasi BUMN Jaga Pasokan",05 Juli 2021 16:05 WIB
Indofarma: Harge Eceran Tertinggi Ivermectin Rp157.700,02 Juli 2021 13:19 WIB
DNR Resmi Didistribusikan Ivermectin Produksi Indofarma,30 Juni 2021 16:35 WIB
POLEMIK OBAT COVID-19 : Ivermectin Perlu Uji klinik,23 Juni 2021 02:00 WIB
"Indofarma (INAF) Produksi Obat Covid-19 Ivermectin 4 Juta Tablet per Bulan, Harga Rp5.000",22 Juni 2021 09:35 WIB
"Indofarma (INAF) Rilis Obat Terapi Pasien Covid-19, Harga Rp7.000",21 Juni 2021 16:55 WIB
"Kasus Covid-19 Melonjak, Ini Upaya Kementerian BUMN dan Indofarma (INAF)",21 Juni 2021 16:00 WIB
‘Virus’ Penyebab Saham Indofarma (INAF) Mandek Kala Kinerja Bugar,17 Juni 2021 10:33 WIB
PROSPEK EMITEN FARMASI : Momentum INAF Bersolek,17 Juni 2021 02:00 WIB
"Fundamental Kuat, tapi Mengapa Saham Indofarma (INAF) Terlalu Mahal?",16 Juni 2021 16:51 WIB
"Kinerja Positif, Begini Strategi Cuan Indofarma (INAF) Sepanjang 2021",15 Juni 2021 16:26 WIB
"Ekspor OBH Syrup ke Afghanistan, INAF Pede Target Ekspor Terlampaui",15 Juni 2021 15:01 WIB
EKSPANSI EMITEN FARMASI : INAF Kebut Pabrik Baru,21 Mei 2021 02:00 WIB
Kinerja Kuartal I/2021: Penjualan Indofarma (INAF) Tumbuh 152 Persen,20 Mei 2021 19:30 WIB
"Tangkap Peluang Bisnis, Indofarma (INAF) Bakal Bangun Banyak Pabrik Tahun Ini",20 Mei 2021 18:55 WIB
Hore! KAI Divre III Palembang Hadirkan GeNose C19 di Enam Stasiun,28 April 2021 12:47 WIB
"Laba Bersih Indofarma (INAF) Tergerus saat Pendapatan Naik, Manajemen Beri Penjelasan",28 April 2021 10:35 WIB
Indofarma Cari Investor di Pameran Hannover Messe,15 April 2021 11:30 WIB
Historia Bisnis : Wacana Merger KAEF dan INAF Rp5 Triliun,18 Maret 2021 13:00 WIB
"Penjualan IRRA Naik 100 Persen, Kemenkes dan Indofarma (INAF) Jadi Pelanggan Utama",19 Februari 2021 20:20 WIB
"Kasus Covid-19 di Kupang Melonjak, Kemenkes Kirim Mobil Laboratorium PCR",19 Februari 2021 07:45 WIB
Indofarma (INAF) Sebut Pasokan Masker dan APD Berlebih,16 Februari 2021 13:55 WIB
Indofarma (NAF) Targetkan Kontribusi Alat Kesehatan Naik 55 Persen,15 Februari 2021 23:01 WIB
VAKSINASI NASIONAL : BUMN Farmasi Berburu Ke Penjuru Dunia,03 Februari 2021 02:00 WIB
Induk INAF dan KAEF Putar Otak Pepet Semua Produsen Vaksin Dunia,01 Februari 2021 11:12 WIB
"10 Saham Top Losers 25 Januari 2021, Saham Farmasi Hingga Bank Mepet ARB",25 Januari 2021 17:13 WIB
"10 Saham Top Losers 14 Januari 2021, Rombongan Saham Farmasi Masuk Deretan",14 Januari 2021 17:47 WIB
Indofarma Perlu Fasilitas Tambahan untuk Distribusikan Pfizer,13 Januari 2021 18:29 WIB
"Valuasi Terlampau Mahal, Saham Farmasi Masih Diburu Investor",12 Januari 2021 18:20 WIB
"Vaksinasi Covid-19, Indofarma (INAF) Bakal Datangkan 50 Juta Vaksin Novavax",12 Januari 2021 16:41 WIB
"Itama Ranoraya (IRRA) Disuspensi, Bagaimana Saham KAEF dan INAF?",12 Januari 2021 12:58 WIB
